Fund,Score,CAGR_3yr,Sharpe_Ratio,Alpha,Expense_Ratio,Max_Drawdown
119551,79.5,0.27727427651752534,1.2082665673727175,0.23201007160635082,0.010824582803960838,-0.1501238549864533
148567,78.75,0.3127857318272198,1.4482911703262593,0.2698375144191807,0.024312640661491188,-0.11265729075028275
120843,77.5,0.2566188265022562,1.3067439695428407,0.27330465038306057,0.01715089703802877,-0.1297396816518679
119094,77.375,0.3606601747719518,0.9982309868636414,0.2607666908004223,0.011084844859190755,-0.20960883862039192
148569,77.25,0.23317122535147572,1.2349300257743294,0.2827036785246582,0.011092275383467413,-0.1639674294693263
119598,76.75,0.27814418371202754,0.9453082575156091,0.3033696538698332,0.007789877213040837,-0.2870600572176455
101206,76.625,0.32528591355184844,1.0272133278753701,0.21399784776051212,0.016973169683940734,-0.11291596329323073
100033,76.625,0.3362921056230763,1.0936987435346313,0.2719535450128533,0.019639878836228104,-0.16217208574644848
120505,75.5,0.30206534630200976,1.1801011976606495,0.2926358334175106,0.020703519227860272,-0.18188513572116294
120504,74.0,0.28369809430069837,1.0265242847993,0.2119482701352573,0.01412139968434072,-0.12588275606922517
149323,69.0,0.24242464971409516,1.1321218524747243,0.26598577542043045,0.01868466053024314,-0.17248105753451382
149324,68.0,0.25029675402929885,0.9497958246616028,0.3005787817097677,0.013803049874792025,-0.31171900300634214
102885,65.875,0.17520119946365442,0.8170993373494366,0.17048756803412696,0.0061616722433639895,-0.1085986215250232
125497,63.74999999999999,0.1770571225538371,0.7757902498211211,0.17729754927531766,0.00630103185970559,-0.15200013055606398
118632,61.875,0.18088593620415083,1.0816591793457038,0.21829397904608644,0.01916145155592091,-0.17414075086657232
118633,59.5,0.18128823270614958,0.6452074382933211,0.1564383594816967,0.005411689885916049,-0.18629743138595511
120506,57.5,0.18246287427399865,0.6488787755249535,0.1625385327998104,0.008993475643167194,-0.1982565826298267
119552,56.625,0.15383382573944893,0.9532794968660094,0.1986859936686296,0.01723705789444759,-0.11803493502764295
120503,55.125,0.1480416951560286,0.7979728586052853,0.17703302365844073,0.012327236865873835,-0.13897862823061635
102887,53.875,0.2566304169554934,0.6195175900829826,0.16211256794033255,0.017022300234864177,-0.21539827112383225
149322,53.25,0.16528044392382957,0.46403744922047724,0.13173190226099432,0.006953442280127677,-0.14844576917771746
148568,49.875,0.13077495792463978,0.9262873467360146,0.20873010086942337,0.021167946962329223,-0.1527259422823477
119093,48.0,0.20575450839484977,0.12961449795669316,0.08232801295222093,0.008668090197068677,-0.21751396370148224
118635,47.0,0.16236841860639406,0.6648569985490614,0.1513635464823924,0.021648852816008438,-0.1165062450540909
120841,44.625,0.16684258851596145,0.4942725378672354,0.13042924450705445,0.01684829137724085,-0.1757361416468729
120507,42.0,0.07051904540600296,0.4957233929533125,0.06746210411099539,0.015284688768272232,-0.0009773140045925555
120842,40.0,0.10040620430039637,0.07599984804658917,0.0780443887615508,0.005929008254399955,-0.24003511326274884
120844,38.875,0.0654165743882027,-0.08874729621557328,0.06455677495375998,0.008410482473745831,-0.0011629327956168556
101208,34.375,0.060761500834302096,-0.8155673679088274,0.060861457957871144,0.008119890406724053,-0.0016224980244717857
119092,34.375,0.005559688070353008,0.030784850954585892,0.0689952982167755,0.008636499344142012,-0.1440161790933726
118634,33.25,0.0758063522976058,0.44843400890899143,0.1750072167561127,0.024398197043239887,-0.2334488614483311
125498,32.0,0.12492937768565682,0.3006119210425476,0.11989100971217971,0.023977710745066667,-0.21117279560132118
101207,29.75,-0.026964750873929244,0.16266076928646767,0.10897091901704538,0.00812037280884873,-0.3544691649336603
119120,29.625,0.05606028649588968,-0.22657538662791604,0.05620895216638369,0.013638900372842315,-0.04328728923970093
118636,29.375,0.04152061472814461,-0.3566295075143681,0.05074772999976104,0.009246782213565523,-0.08316361763638702
119599,21.125,-0.006866124385353167,-0.05718662582817994,0.048824215945539845,0.010842892970704364,-0.5257422117012851
100025,19.125,0.046143288414864925,-0.5670947928476846,0.042817920315060876,0.024014286128198326,-0.04308263824636349
100016,18.5,-0.00031627759670682654,-0.20151706755966947,0.03747580763443281,0.01249080237694725,-0.24734440880673303
119095,14.625,-0.11065546853000663,-0.07597357117478919,0.048015953637759554,0.015495128632644756,-0.5167775370852656
102886,9.25,-0.01832224809009908,-0.20583160785470325,0.028969397866379445,0.022323522915498707,-0.2800112356639287
